GEOID,NAME,total_popE,total_popM,white_aloneE,white_aloneM,black_aloneE,black_aloneM,asian_aloneE,asian_aloneM,hispanic_totalE,hispanic_totalM,median_incomeE,median_incomeM,poverty_totalE,poverty_totalM,poverty_belowE,poverty_belowM,total_householdsE,total_householdsM,no_vehicleE,no_vehicleM,pop_25_plusE,pop_25_plusM,bachelors_plusE,bachelors_plusM,pct_black,pct_white,pct_hispanic,pct_poverty,pct_no_vehicle,pct_bachelors,high_moe_flag,z_pct_black,z_pct_poverty,z_pct_no_vehicle,vulnerability_index,vulnerability_category
01101002201,Census Tract 22.01; Montgomery County; Alabama,3541,810,148,154,3045,700,0,13,386,397,32178,9145,3528,810,1286,559,1479,298,161,179,2737,646,193,107,85.99265744140074,4.179610279582039,10.900875458909914,36.45124716553288,10.885733603786342,7.051516258677385,1,1.0034405722575752,0.9642540473590255,2.8248168687920328,1.5975038294695445,High
01101002700,Census Tract 27; Montgomery County; Alabama,3681,910,1712,238,1843,884,26,26,32,52,79583,23465,3623,910,60,57,1548,267,0,13,2703,465,770,246,50.06791632708503,46.5091007878294,0.8693289866883999,1.6560861164780567,0,28.486866444691085,1,-0.3491214053807353,-1.3224332989587932,-0.6468391993130574,-0.7727979678841953,Low
01101005611,Census Tract 56.11; Montgomery County; Alabama,3497,388,1982,251,1226,323,222,118,13,21,107426,20449,3497,388,351,201,1553,148,0,13,2469,270,727,211,35.058621675722044,56.677151844438086,0.37174721189591076,10.037174721189592,0,29.445119481571485,0,-0.9142194583354957,-0.7716403529585354,-0.6468391993130574,-0.7775663368690294,Low
01101003303,Census Tract 33.03; Montgomery County; Alabama,2465,470,752,229,1676,429,18,29,10,15,67053,15879,2428,449,263,302,1041,182,0,13,1786,368,465,157,67.99188640973631,30.50709939148073,0.4056795131845842,10.831960461285007,0,26.035834266517355,1,0.32571381041042274,-0.7194081907809329,-0.6468391993130574,-0.3468445265611892,Low
01101003000,Census Tract 30; Montgomery County; Alabama,1539,654,272,145,1058,617,51,78,169,188,32284,3676,1516,620,590,583,523,131,11,14,868,249,47,32,68.74593892137752,17.673814165042234,10.981156595191683,38.91820580474934,2.1032504780114722,5.414746543778802,1,0.3541037924883212,1.1263789789330656,0.02392517454537646,0.5014693153222544,Moderate
01101000200,Census Tract 2; Montgomery County; Alabama,1613,245,318,112,1078,219,0,13,236,194,45420,11796,603,233,147,116,423,182,0,13,1498,233,52,44,66.83199008059516,19.714817110973343,14.63112213267204,24.378109452736318,0,3.4712950600801067,1,0.2820438597263968,0.1708250070599211,-0.6468391993130574,-0.06465677750891319,Low
01101002300,Census Tract 23; Montgomery County; Alabama,2409,600,10,17,2376,610,0,13,0,13,35934,14162,2409,600,967,537,1122,346,9,15,1749,441,168,129,98.63013698630137,0.4151100041511001,0,40.14113740141138,0.8021390374331552,9.605488850771868,1,1.4792400852233927,1.2067482637182925,-0.3910226454521233,0.764988567829854,Moderate
01101002100,Census Tract 21; Montgomery County; Alabama,3712,690,855,434,2565,540,126,196,27,39,71310,17134,3675,687,445,279,1314,187,111,136,2734,444,611,222,69.10021551724138,23.033405172413794,0.7273706896551724,12.108843537414966,8.447488584474886,22.348207754206292,1,0.3674422616955954,-0.635493293281326,2.0472167157003414,0.5930552280382037,Moderate
01101005301,Census Tract 53.01; Montgomery County; Alabama,1255,296,608,164,243,175,22,14,298,152,63672,10898,1109,288,28,39,249,68,0,13,474,130,143,61,19.362549800796813,48.44621513944223,23.745019920318725,2.5247971145175834,0,30.168776371308013,1,-1.5051745872464175,-1.2653428764134416,-0.6468391993130574,-1.1391188876576388,Very Low
01101002901,Census Tract 29.01; Montgomery County; Alabama,3843,720,176,184,3582,739,0,13,0,13,43020,13527,3732,719,803,461,1493,285,0,13,2171,485,227,178,93.20843091334895,4.579755399427531,0,21.516613076098608,0,10.45601105481345,1,1.27511353453034,-0.017228370441818713,-0.6468391993130574,0.2036819882584879,Moderate
01101005902,Census Tract 59.02; Montgomery County; Alabama,2669,474,68,88,2384,467,0,13,229,212,37603,12909,2669,474,962,432,1057,136,19,23,1802,298,153,80,89.32184338703635,2.547770700636943,8.579992506556763,36.04346197077557,1.7975402081362346,8.49056603773585,1,1.1287840037446903,0.9374549978143872,-0.07357132427811655,0.6642225590936537,Moderate
01101005604,Census Tract 56.04; Montgomery County; Alabama,3437,509,2020,335,1249,282,0,13,34,46,147674,9828,3437,509,131,152,1271,205,0,13,2398,320,631,195,36.339831248181554,58.77218504509747,0.9892347977887692,3.8114634855979053,0,26.313594662218513,0,-0.865982079321944,-1.1807850350074462,-0.6468391993130574,-0.8978687712141493,Low
01101001100,Census Tract 11; Montgomery County; Alabama,2397,853,0,13,2297,842,0,13,33,41,27948,14468,2292,823,703,395,981,224,29,39,1681,486,180,110,95.82811848143513,0,1.376720901126408,30.67190226876091,2.9561671763506627,10.707911957168353,1,1.3737444414757811,0.5844439114949207,0.29593563696818315,0.7513746633129617,Moderate
01101003301,Census Tract 33.01; Montgomery County; Alabama,2741,425,1750,295,868,390,70,75,1,3,91520,21424,2738,425,438,335,1337,192,11,17,1839,237,583,145,31.667274717256475,63.84531192995257,0.036483035388544326,15.997078159240322,0.8227374719521316,31.70201196302338,1,-1.0419032441254503,-0.37996417253065734,-0.38445343452026687,-0.6021069503921248,Low
01101002202,Census Tract 22.02; Montgomery County; Alabama,841,151,0,13,797,164,0,13,44,66,33393,30629,841,151,247,139,342,68,10,13,632,114,61,55,94.76813317479191,0,5.231866825208085,29.369797859690845,2.923976608187134,9.651898734177216,1,1.3338361282033557,0.4988715046994063,0.2856694863008737,0.7061257064012119,Moderate
01101005614,Census Tract 56.14; Montgomery County; Alabama,2662,690,29,46,2230,607,0,13,374,344,24391,21888,2662,690,1435,574,1128,236,0,13,1409,332,100,112,83.77160030052592,1.0894064613072878,14.049586776859504,53.90683696468821,0,7.097232079488999,1,0.9198180506825423,2.1114100056248706,-0.6468391993130574,0.7947962856647851,Moderate
01101005612,Census Tract 56.12; Montgomery County; Alabama,2307,337,591,246,1033,241,641,214,22,25,109460,8251,2307,337,66,62,769,118,10,16,1318,206,432,108,44.7767663632423,25.617685305591674,0.953619419159081,2.860858257477243,1.3003901170351104,32.77693474962064,0,-0.5483325350115107,-1.2432574271720496,-0.23212142235601652,-0.6745704615131922,Low
01101005613,Census Tract 56.13; Montgomery County; Alabama,4729,1003,253,187,3739,925,24,28,424,282,42602,16693,4713,1003,2488,767,1700,337,17,28,2215,487,176,172,79.06534150983295,5.34996828082047,8.96595474730387,52.79015489072777,1,7.945823927765237,1,0.7426280000441324,2.0380232848453548,-0.32792122883309294,0.8175766853521315,Moderate
01101005606,Census Tract 56.06; Montgomery County; Alabama,5228,899,530,223,4440,896,0,19,265,330,47849,19615,5228,899,1988,695,2188,307,0,19,3003,626,600,336,84.92731446059678,10.137719969395564,5.068859984697782,38.026013771996944,0,19.980019980019982,1,0.9633305432278854,1.0677454169586225,-0.6468391993130574,0.46141225362448335,Moderate
01101005409,Census Tract 54.09; Montgomery County; Alabama,1975,257,641,135,1139,219,41,52,137,115,96964,38657,1975,257,182,125,860,145,7,13,1508,228,263,109,57.67088607594937,32.45569620253165,6.936708860759494,9.2151898734177209,0.813953488372093,17.44031830238727,0,-0.06287055205585729,-0.8256600009094385,-0.3872548047363421,-0.42526178590054603,Low
01101003304,Census Tract 33.04; Montgomery County; Alabama,2957,472,485,249,2262,474,66,61,115,113,32188,11226,2938,466,669,266,1816,332,0,13,2160,360,464,203,76.49644910382143,16.40175853905986,3.8890767669935746,22.77059223961879,0,21.48148148148148,1,0.645909524552311,0.06518131525341948,-0.6468391993130574,0.02141721349755769,Moderate
01101000700,Census Tract 7; Montgomery County; Alabama,1316,301,275,116,689,177,0,13,0,13,30000,9300,1314,301,815,319,712,203,49,55,895,228,165,97,52.35562310030395,20.89665653495441,0,62.02435312024354,6.882022471910113,18.435754189944134,1,-0.26298953354357113,2.644881353846812,1.547961440226024,1.3099510868430884,High
01101003200,Census Tract 32; Montgomery County; Alabama,6041,1245,185,118,5800,1244,0,19,0,19,49430,18596,5822,1252,1144,687,2296,381,156,132,4049,703,376,179,96.01059427247145,3.0624068862771066,0,19.649604946753694,6.794425087108014,9.286243516917757,1,1.380614632022453,-0.1399254276224604,1.520025060045586,0.9202380881485261,Moderate
01101000600,Census Tract 6; Montgomery County; Alabama,1604,356,84,58,1457,373,10,14,0,13,24090,7391,1489,356,705,254,781,187,18,27,987,208,122,82,90.83541147132169,5.236907730673317,0,47.34721289456011,2.3047375160051216,12.360688956433636,1,1.1857696514590845,1.680321058037684,0.0881830117803306,0.9847579070923663,Moderate
