UNIQUE_ID,COUNTYFP,County,Precinct,G24A01NO,G24A01YES,G24AJ1OWRI,G24AJ1RMCC,G24AJ2OWRI,G24AJ2RBRY,G24AJ3OWRI,G24AJ3RSEL,G24AJ4OWRI,G24AJ4RMIT,G24CFJDGRI,G24CFJOWRI,G24CFJRSTE,G24CR1OWRI,G24CR1RMIN,G24CR2OWRI,G24CR2RAND,G24CR3OWRI,G24CR3RCOL,G24CV1OWRI,G24CV1REDW,G24CV2OWRI,G24CV2RHAN,G24CV3OWRI,G24CV3RMOO,G24PREDHAR,G24PREIKEN,G24PREIOLI,G24PREISTE,G24PREOWRI,G24PRERTRU,G24PSCOWRI,G24PSCRCAV,GCON01DHOL,GCON01OWRI,GCON01RMOO,GCON02DFIG,GCON02OWRI,GCON02RDOB,GCON03OWRI,GCON03RROG,GCON04OWRI,GCON04RADE,GCON05OWRI,GCON05RSTR,GCON06DAND,GCON06OWRI,GCON06RPAL,GCON07DSEW,GCON07OWRI,GCON07RLIT,dem_pres,rep_pres,ind_pres_kennedy,ind_pres_oliver,ind_pres_stein,writein_pres,total_pres_votes_2024,dem_share_2024,total_pres_votes_2020,dem_share_2020,dem_pres_2020,rep_pres_2020,lib_pres_2020,writein_pres_2020,turnout_change,turnout_pct_change
Montgomery-:-101 WILSON COMM & ATHLETIC CTR,101,Montgomery,101 WILSON COMM & ATHLETIC CTR,471,1786,109,2113,110,2109,102,2205,102,2102,1382,10,1997,84,2055,91,2076,76,2055,85,2095,85,2062,83,2053,1538,26,8,14,58,1827,137,2030,0,0,0,1506,8,1956,0,0,0,0,0,0,0,0,0,0,0,0,1538,1827,26,8,14,58,3471,0.44309997118985883,4137.0,0.9465796470872613,3916.0,193.0,20.0,8.0,-666.0,-16.09862218999275
Montgomery-:-102 VAUGHN PARK CH,101,Montgomery,102 VAUGHN PARK CH,693,2037,141,1684,138,1680,130,1690,121,1663,2642,5,1340,125,1639,128,1635,125,1641,127,1670,119,1651,122,1655,2656,28,6,11,30,1298,137,1660,0,0,0,2702,8,1333,0,0,0,0,0,0,0,0,0,0,0,0,2656,1298,28,6,11,30,4029,0.6592206502854306,4092.0,0.6275659824046921,2568.0,1477.0,29.0,18.0,-63.0,-1.5395894428152492
Montgomery-:-103 MUSEUM OF FINE ARTS,101,Montgomery,103 MUSEUM OF FINE ARTS,405,1326,74,1004,70,990,69,993,67,991,1816,1,709,65,971,65,967,66,963,64,981,66,970,64,981,1802,14,9,8,4,713,75,972,0,0,0,1846,0,696,0,0,0,0,0,0,0,0,0,0,0,0,1802,713,14,9,8,4,2550,0.7066666666666667,3055.0,0.6834697217675941,2088.0,914.0,43.0,10.0,-505.0,-16.53027823240589
Montgomery-:-104 WHITFIELD METHODIST,101,Montgomery,104 WHITFIELD METHODIST,268,907,78,461,73,454,69,449,67,448,1445,0,263,66,436,66,437,66,433,69,444,69,431,64,444,1439,16,1,6,3,257,68,442,0,0,0,1468,0,251,0,0,0,0,0,0,0,0,0,0,0,0,1439,257,16,1,6,3,1722,0.8356562137049942,2105.0,0.8422802850356295,1773.0,312.0,15.0,5.0,-383.0,-18.19477434679335
Montgomery-:-105 ALDERSGATE METHODIST,101,Montgomery,105 ALDERSGATE METHODIST,536,1523,114,770,109,762,108,767,112,753,2543,5,426,105,743,100,742,103,740,102,768,103,752,103,758,2544,15,2,7,11,435,104,750,0,0,0,2584,3,423,0,0,0,0,0,0,0,0,0,0,0,0,2544,435,15,2,7,11,3014,0.8440610484406105,3339.0,0.8616352201257862,2877.0,427.0,21.0,14.0,-325.0,-9.733453129679544
Montgomery-:-106 CITY OF REFUGE CH,101,Montgomery,106 CITY OF REFUGE CH,368,1107,75,358,77,349,73,342,66,346,2110,5,98,67,317,69,323,70,318,67,339,70,320,70,337,2096,16,1,1,2,110,75,326,0,0,0,2139,6,90,0,0,0,0,0,0,0,0,0,0,0,0,2096,110,16,1,1,2,2226,0.9415992812219227,2420.0,0.9611570247933884,2326.0,68.0,21.0,5.0,-194.0,-8.016528925619834
Montgomery-:-107 TRENHOLM COMM COLLEGE,101,Montgomery,107 TRENHOLM COMM COLLEGE,201,627,35,248,31,237,32,237,28,226,1085,0,58,31,226,31,224,30,224,32,230,31,228,30,233,1070,7,2,4,2,64,33,224,0,0,0,1099,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1070,64,7,2,4,2,1149,0.9312445604873804,1411.0,0.96243798724309,1358.0,42.0,8.0,3.0,-262.0,-18.568391211906448
Montgomery-:-201 ST PAUL AME CH,101,Montgomery,201 ST PAUL AME CH,367,1200,91,706,88,688,80,705,81,688,1929,4,467,76,663,79,669,75,670,74,684,76,667,70,686,1957,17,6,4,14,449,97,660,0,0,0,1962,3,469,0,0,0,0,0,0,0,0,0,0,0,0,1957,449,17,6,4,14,2447,0.7997548017981202,2946.0,0.814663951120163,2400.0,493.0,34.0,19.0,-499.0,-16.938221317040053
Montgomery-:-202 BEULAH BAPT CH,101,Montgomery,202 BEULAH BAPT CH,416,838,40,232,32,226,36,214,37,209,2025,1,75,31,195,30,189,29,188,36,208,32,201,27,212,2038,9,2,1,2,73,31,197,0,0,0,2039,2,72,0,0,0,0,0,0,0,0,0,0,0,0,2038,73,9,2,1,2,2125,0.9590588235294117,2704.0,0.9737426035502958,2633.0,47.0,21.0,3.0,-579.0,-21.412721893491124
Montgomery-:-203 HAYNEVILLE RD COMM CTR,101,Montgomery,203 HAYNEVILLE RD COMM CTR,149,457,37,228,38,223,34,224,31,219,777,1,119,31,211,34,212,33,215,30,216,37,213,32,221,758,5,0,0,4,125,33,219,0,0,0,770,1,123,0,0,0,0,0,0,0,0,0,0,0,0,758,125,5,0,0,4,892,0.8497757847533632,1221.0,0.8771498771498771,1071.0,136.0,11.0,3.0,-329.0,-26.945126945126948
Montgomery-:-204 REBIRTH CHRISTIAN MINISTRI,101,Montgomery,204 REBIRTH CHRISTIAN MINISTRI,472,1440,88,477,90,462,90,445,83,451,2980,2,183,93,426,92,428,89,420,94,443,93,431,89,441,3000,13,1,4,3,187,93,440,0,0,0,3037,1,160,0,0,0,0,0,0,0,0,0,0,0,0,3000,187,13,1,4,3,3208,0.9351620947630923,,,,,,,,
Montgomery-:-205 SOUTHLAWN BAPT,101,Montgomery,205 SOUTHLAWN BAPT,252,608,24,215,22,203,25,199,26,198,1469,2,89,25,190,25,191,23,187,25,197,26,187,25,198,1477,4,1,4,0,93,23,196,0,0,0,1478,2,89,0,0,0,0,0,0,0,0,0,0,0,0,1477,93,4,1,4,0,1579,0.935402153261558,1788.0,0.9563758389261745,1710.0,76.0,1.0,1.0,-209.0,-11.68903803131991
Montgomery-:-206 TWIN GATES COMM CTR,101,Montgomery,206 TWIN GATES COMM CTR,199,522,19,229,19,220,18,214,17,210,1132,2,117,19,203,16,205,16,210,17,211,18,211,17,208,1139,6,1,2,1,128,19,204,0,0,0,1157,1,110,0,0,0,0,0,0,0,0,0,0,0,0,1139,128,6,1,2,1,1277,0.8919342208300705,,,,,,,,
Montgomery-:-207 HUNTER STATION CC,101,Montgomery,207 HUNTER STATION CC,76,133,4,139,4,134,4,135,4,134,216,0,104,4,131,4,132,4,128,5,137,4,131,4,131,215,0,1,0,3,110,7,131,0,0,0,222,0,106,0,0,0,0,0,0,0,0,0,0,0,0,215,110,0,1,0,3,329,0.6534954407294833,432.0,0.7430555555555556,321.0,109.0,2.0,0.0,-103.0,-23.84259259259259
