STATEFP20,COUNTYFP,VTDST20,GEOID20,Precinct,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20USSRTUB,G20USSDJON,G20USSOWRI,G20SSCRSHA,G20SSCOWRI,G20SSCRMEN,G20SSCOWR2,G20SACRTHO,G20SACOWRI,G20SACRFRI,G20SACOWR2,G20SCCRWIN,G20SCCOWRI,G20SCCRKEL,G20SCCOWR2,G20PSCRCAV,G20PSCDCAS,G20PSCOWRI,dem_pres,rep_pres,lib_pres,writein_pres,total_pres_votes_2020,dem_share_2020
01,101,000502,01101000502,Snowdoun Women's Club,331,208,3,2,335,211,0,350,14,349,11,351,10,349,11,347,10,351,10,330,203,2,208,331,3,2,544,0.38235294117647056
01,101,000210,01101000210,Pintlala VFD,858,481,8,3,830,526,0,881,7,871,7,867,7,863,9,866,9,866,10,833,495,0,481,858,8,3,1350,0.3562962962962963
01,101,000205,01101000205,Southlawn Baptist,76,1710,1,1,64,1717,0,213,36,207,35,205,35,209,28,210,28,194,31,77,1679,0,1710,76,1,1,1788,0.9563758389261745
01,101,000209,01101000209,First Southern Baptist,226,128,5,1,222,141,0,238,4,237,2,236,3,233,1,240,1,235,1,224,129,1,128,226,5,1,360,0.35555555555555557
01,101,000204,01101000204,AFED Conference Ctr,193,3916,20,8,180,3929,1,594,131,564,127,563,129,548,124,565,126,527,125,202,3840,1,3916,193,20,8,4137,0.9465796470872613
01,101,000305,01101000305,Frazer UMC,2307,3491,62,26,2223,3641,5,2938,213,2897,194,2899,185,2885,195,2899,190,2882,183,2250,3511,5,3491,2307,62,26,5886,0.5931022765885151
01,101,000510,01101000510,Georgia Washington Mid School,2331,2088,55,26,2285,2204,7,2622,98,2588,90,2590,84,2578,87,2576,86,2569,79,2347,2081,1,2088,2331,55,26,4500,0.464
01,101,000103,01101000103,Museum of Fine Arts,914,2088,43,10,893,2155,4,1274,112,1257,106,1252,103,1241,110,1250,103,1243,99,921,2078,6,2088,914,43,10,3055,0.6834697217675941
01,101,000101,01101000101,Leo Drum Theater/Huntingdon,1929,1398,46,35,1876,1540,12,2200,72,2186,63,2181,64,2151,66,2164,65,2157,63,1990,1339,5,1398,1929,46,35,3408,0.4102112676056338
01,101,000304,01101000304,Lagoon Park Fire St,1619,1300,37,19,1564,1409,11,1780,68,1766,66,1771,59,1752,63,1754,64,1753,58,1607,1312,3,1300,1619,37,19,2975,0.4369747899159664
01,101,000306,01101000306,Eastdale Baptist,297,1341,17,5,275,1372,4,489,59,479,59,467,59,476,60,479,60,472,60,303,1323,2,1341,297,17,5,1660,0.8078313253012048
01,101,000410,01101000410,Sheridan Heights Comm Ctr,148,2016,13,0,132,2024,3,325,41,305,40,299,39,293,41,299,42,290,39,151,1971,3,2016,148,13,0,2177,0.9260450160771704
01,101,000411,01101000411,Union Academy Baptist,101,78,2,0,100,81,0,108,4,106,4,106,4,105,4,107,4,105,4,103,77,0,78,101,2,0,181,0.430939226519337
01,101,000104,01101000104,Whitfield UMC,312,1773,15,5,288,1804,3,584,95,564,98,565,97,550,94,553,96,548,92,321,1731,4,1773,312,15,5,2105,0.8422802850356295
01,101,000203,01101000203,Hayneville Rd Comm Ctr,136,1071,11,3,122,1091,0,241,35,229,33,224,31,224,37,220,34,211,33,125,1073,0,1071,136,11,3,1221,0.8771498771498771
01,101,000401,01101000401,St James Baptist,53,914,8,3,49,924,0,137,31,132,31,133,35,129,33,129,33,127,29,51,904,0,914,53,8,3,978,0.934560327198364
01,101,000405,01101000405,Houston Hills Comm Ctr,190,818,12,3,186,827,1,310,30,304,31,296,27,299,26,291,28,295,26,197,802,0,818,190,12,3,1023,0.7996089931573802
01,101,000409,01101000409,Chisholm Comm Ctr,197,746,12,3,183,773,1,289,37,283,35,283,33,275,34,279,33,275,33,195,745,1,746,197,12,3,958,0.778705636743215
01,101,000207,01101000207,Hunter Station Comm Ctr,109,321,2,0,103,322,1,145,11,138,14,143,11,135,12,137,11,137,11,111,303,0,321,109,2,0,432,0.7430555555555556
01,101,000512,01101000512,St James UMC,3524,1907,47,24,3452,2046,9,3871,110,3844,105,3843,102,3813,99,3848,93,3828,97,3515,1924,3,1907,3524,47,24,5502,0.346601235914213
01,101,000202,01101000202,Beulah Baptist,47,2633,21,3,41,2652,0,266,78,245,74,243,75,219,79,222,75,214,72,58,2569,5,2633,47,21,3,2704,0.9737426035502958
01,101,000412,01101000412,Union Chapel AME Church,183,602,6,4,175,618,1,244,12,243,10,243,9,236,10,245,10,234,9,170,603,0,602,183,6,4,795,0.7572327044025158
01,101,000105,01101000105,Aldersgate UMC,427,2877,21,14,399,2935,1,807,103,797,102,789,96,766,98,774,96,756,93,414,2881,2,2877,427,21,14,3339,0.8616352201257862
01,101,000201,01101000201,St Paul AME Church,493,2400,34,19,468,2467,0,800,72,782,66,778,65,757,68,762,61,749,64,503,2358,2,2400,493,34,19,2946,0.814663951120163
01,101,000506,01101000506,Davis Crossroads Fire St,201,78,1,0,198,83,1,210,4,209,4,209,4,210,2,211,2,210,2,198,82,0,78,201,1,0,280,0.2785714285714286
01,101,000503,01101000503,Lapine Baptist,171,98,0,1,163,107,0,175,2,177,2,175,3,172,2,171,4,172,1,165,99,0,98,171,0,1,270,0.362962962962963
01,101,000211,01101000211,Rufus Lewis Library,29,842,5,3,24,849,0,93,26,91,26,93,26,83,30,90,29,82,29,30,825,1,842,29,5,3,879,0.9579067121729238
01,101,000402,01101000402,McIntyre Comm Ctr,39,1686,16,5,39,1697,0,178,32,164,35,168,36,160,32,171,28,148,29,54,1646,0,1686,39,16,5,1746,0.9656357388316151
01,101,000413,01101000413,Passion Church Montgomery,409,1870,21,3,387,1904,1,709,68,685,68,682,67,681,72,690,68,670,70,402,1862,2,1870,409,21,3,2303,0.8119843682153712
01,101,000408,01101000408,Highland Gardens Comm Ctr,229,642,6,1,221,659,1,345,27,332,26,329,22,321,25,325,26,318,23,244,623,0,642,229,6,1,878,0.7312072892938497
01,101,000407,01101000407,King Hill Comm Ctr,309,740,11,14,293,777,1,418,35,409,37,407,36,412,33,407,31,404,32,318,734,1,740,309,11,14,1074,0.6890130353817505
01,101,000106,01101000106,City of Refuge Church,68,2326,21,5,54,2356,3,290,51,276,46,265,49,256,47,251,45,255,45,77,2297,1,2326,68,21,5,2420,0.9611570247933884
01,101,000511,01101000511,Arrowhead Country Club,969,573,11,2,933,628,3,1035,25,1028,26,1022,27,1017,23,1017,25,1014,25,957,586,1,573,969,11,2,1555,0.3684887459807074
01,101,000403,01101000403,Cleveland Ave YMCA,162,1364,18,5,163,1365,3,334,61,319,66,321,60,320,63,317,63,313,61,182,1296,2,1364,162,18,5,1549,0.8805681084570691
01,101,000301,01101000301,Dalraida Church of Christ,2069,1556,63,17,2001,1697,4,2350,83,2330,80,2327,81,2305,82,2314,79,2310,75,2025,1612,4,1556,2069,63,17,3705,0.41997300944669363
01,101,000107,01101000107,Trenholm St Comm College,42,1358,8,3,35,1367,3,194,48,188,45,183,47,179,45,189,42,174,44,44,1343,4,1358,42,8,3,1411,0.96243798724309
01,101,000406,01101000406,Newtown Comm Ctr,35,515,1,0,34,514,0,92,6,83,7,86,7,82,7,79,7,80,7,36,502,1,515,35,1,0,551,0.9346642468239564
01,101,000509,01101000509,Woodland UMC,2316,1385,40,11,2269,1485,4,2584,62,2554,67,2557,64,2536,58,2548,61,2532,59,2302,1386,5,1385,2316,40,11,3752,0.369136460554371
01,101,000504,01101000504,Ramer Library,302,198,1,0,296,205,0,298,6,294,6,298,5,295,5,295,5,294,5,284,202,2,198,302,1,0,501,0.39520958083832336
01,101,000507,01101000507,Dublin Fire St,342,146,2,0,328,164,1,355,4,352,4,356,4,347,6,349,5,349,4,335,149,1,146,342,2,0,490,0.2979591836734694
