County,Registered Voters,Total Ballots Cast,Straight Party Democrat,Straight Party Republican,Absentee Ballots,Turnout as a Percentage of Registered Voters,Absentee as Percentage of Total Ballots,,,,,,,
Autauga,"43,482","27,813","5,055","12,916","3,494",64.00%,12.60%,,,,,,,
Baldwin,"176,642","110,214","13,483","57,259","12,903",62.40%,11.70%,,,,,,,
Barbour,"17,819","10,560","3,989","3,470","1,296",59.30%,12.30%,,,,,,,
Bibb,"14,992","9,630","1,585","5,360",577,64.20%,6.00%,,,,,,,
Blount,"41,865","27,665","1,602","17,450","1,711",66.10%,6.20%,,,,,,,
Bullock,"7,438","4,633","2,944",634,720,62.30%,15.50%,,,,,,,
Butler,"14,602","9,527","3,141","2,428","1,069",65.20%,11.20%,,,,,,,
Calhoun,"81,390","51,141","10,248","23,821","4,701",62.80%,9.20%,,,,,,,
Chambers,"25,985","15,374","4,796","4,938","2,786",59.20%,18.10%,,,,,,,
Cherokee,"19,430","12,341","1,002","7,164",918,63.50%,7.40%,,,,,,,
Chilton,"29,874","19,366","1,913","8,743","1,566",64.80%,8.10%,,,,,,,
Choctaw,"11,008","7,522","2,663","2,133",797,68.30%,10.60%,,,,,,,
Clarke,"19,645","13,185","4,843","4,589","1,333",67.10%,10.10%,,,,,,,
Clay,"10,431","7,026",879,"3,586",558,67.40%,7.90%,,,,,,,
Cleburne,"11,494","7,255",397,"4,711",584,63.10%,8.00%,,,,,,,
Coffee,"37,095","22,387","3,469","10,957","2,415",60.40%,10.80%,,,,,,,
Colbert,"43,545","27,984","5,857","11,556","2,933",64.30%,10.50%,,,,,,,
Conecuh,"10,380","6,472","2,572","1,924",481,62.40%,7.40%,,,,,,,
Coosa,"8,375","5,494","1,436","2,526",368,65.60%,6.70%,,,,,,,
Covington,"28,295","17,555","1,987","10,155","1,527",62.00%,8.70%,,,,,,,
Crenshaw,"10,606","6,645","1,413","3,094",489,62.70%,7.40%,,,,,,,
Cullman,"62,597","41,985","2,532","25,951","2,830",67.10%,6.70%,,,,,,,
Dale,"35,610","19,838","3,617","9,389","2,034",55.70%,10.30%,,,,,,,
Dallas,"31,771","17,949","10,201","3,221","3,001",56.50%,16.70%,,,,,,,
DeKalb,"45,089","29,451","2,719","17,295","2,106",65.30%,7.20%,,,,,,,
Elmore,"60,667","41,149","6,922","20,765","4,161",67.80%,10.10%,,,,,,,
Escambia,"27,180","15,956","4,022","7,765","1,270",58.70%,8.00%,,,,,,,
Etowah,"75,935","47,869","8,215","23,987","5,822",63.00%,12.20%,,,,,,,
Fayette,"13,017","8,815",935,"4,680",483,67.70%,5.50%,,,,,,,
Franklin,"19,656","12,665","1,359","6,310",744,64.40%,5.90%,,,,,,,
Geneva,"20,061","12,600","1,069","6,843",727,62.80%,5.80%,,,,,,,
Greene,"7,029","4,801","3,530",517,830,68.30%,17.30%,,,,,,,
Hale,"12,512","7,957","4,170","1,897","1,448",63.60%,18.20%,,,,,,,
Henry,"14,021","9,339","1,803","3,831","1,147",66.60%,12.30%,,,,,,,
Houston,"80,141","46,311","9,142","20,575","5,885",57.80%,12.70%,,,,,,,
Jackson,"39,525","22,270","2,137","12,855","1,215",56.30%,5.50%,,,,,,,
Jefferson,"504,691","326,374","133,369","100,760","48,837",64.70%,15.00%,,,,,,,
Lamar,"11,207","7,231",749,"4,562",477,64.50%,6.60%,,,,,,,
Lauderdale,"68,128","44,510","7,001","18,228","5,370",65.30%,12.10%,,,,,,,
Lawrence,"25,357","16,086","2,599","7,819",876,63.40%,5.40%,,,,,,,
Lee,"123,705","71,625","17,654","28,269","12,761",57.90%,17.80%,,,,,,,
Limestone,"71,273","49,383","8,088","20,792","7,156",69.30%,14.50%,,,,,,,
Lowndes,"10,343","6,896","4,188","1,046","1,534",66.70%,22.20%,,,,,,,
Macon,"17,900","8,771","5,337",913,"1,570",49.00%,17.90%,,,,,,,
Madison,"302,377","195,374","51,367","66,488","37,710",64.60%,19.30%,,,,,,,
Marengo,"16,322","10,942","4,686","2,925","1,140",67.00%,10.40%,,,,,,,
Marion,"21,987","13,855",893,"9,122",885,63.00%,6.40%,,,,,,,
