FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,polling_place_id,longitude,latitude
1170,ExactMatch,Exact,,Church of the Island,901 Chaumont Ave.,Dauphin Island,36528,Mobile,Alabama,AE,,0000,-88.10999999999996,30.256499999999967
1169,ExactMatch,Exact,,St. Michael Catholic Church,15872 Heron Bay Loop Rd. E.,Coden,36523,Mobile,Alabama,AE,,0001,-88.13049999999998,30.35959999999999
1168,ExactMatch,Exact,,Bayou La Batre Community Center,12745 Padgett Switch Rd,Bayou La Batre,36544,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0002,-88.24410371,30.42307123
1166,ExactMatch,Exact,,First Evangelical Methodist Church,11329 Padgett Switch Rd.,Irvington,36544,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0003,-88.217,30.455776739999965
1167,ExactMatch,Exact,,Friendship Baptist Church,12581 Saeger Rd.,Grand Bay,36541,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0004,-88.34026939000005,30.472400000000036
1164,ExactMatch,Exact,,Grand Bay Middle School,12800 Cunningham Rd,Grand Bay,36541,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0005,-88.3461,30.479499999999963
1163,KnownAlternateName,Exact,,St Philip Neri Catholic Church,9101 Dauphin Island Pkwy,Theodore,36582,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0006,-88.1109,30.503217770000038
1165,ExactMatch,Exact,,St. Elmo Elementary School,8666 McDonald Rd,Irvington,36544,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0007,-88.24260000000002,30.51019999999999
1161,ExactMatch,Rooftop,,Hollingers Island Elementary School,2400 Hammock Rd.,Mobile,36605,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0008,-88.09252167000002,30.54419136000003
1162,ExactMatch,Exact,,Burroughs Elementary School,6875 Burroughs Lane,Theodore,36582,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0009,-88.16450000000003,30.548171430000007
1160,ExactMatch,Exact,,Magnolia Springs Baptist Church,6058 Theodore Dawes Rd.,Theodore,36582,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0010,-88.1846,30.556200000000025
1155,KnownAlternateName,Exact,,Union Baptist Church,5251 Grand Bay Wilmer Rd.,Grand Bay,36541,Mobile,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0011,-88.34369995000003,30.581293250000044
